Genero_Usuario,Edad_Usuario,Bici,Ciclo_Estacion_Retiro,Fecha_Retiro,Hora_Retiro,Ciclo_EstacionArribo,Fecha_Arribo,Hora_Arribo
M,26,5180930,568,31/12/2024,23:57:02,572,01/01/2025,00:00:03
F,54,3653953,283,31/12/2024,23:51:40,596,01/01/2025,00:00:41
M,38,7511322,34,31/12/2024,23:48:36,64,01/01/2025,00:00:59
M,41,3804572,258,31/12/2024,23:54:11,23,01/01/2025,00:01:08
M,35,3848405,43,31/12/2024,23:35:28,126,01/01/2025,00:01:17
M,24,7579436,222,31/12/2024,23:34:33,483,01/01/2025,00:01:58
M,31,7161920,34,31/12/2024,23:25:47,688,01/01/2025,00:02:16
M,22,7220593,254,31/12/2024,23:50:20,539,01/01/2025,00:02:41
M,29,4031258,560,31/12/2024,23:52:11,120,01/01/2025,00:03:28
M,26,5180930,568,31/12/2024,23:57:03,572,01/01/2025,00:00:03
F,54,3653953,283,31/12/2024,23:51:41,596,01/01/2025,00:00:41
M,38,7511322,34,31/12/2024,23:48:37,64,01/01/2025,00:00:59
M,41,3804572,258,31/12/2024,23:54:12,23,01/01/2025,00:01:08
M,35,3848405,43,31/12/2024,23:35:29,126,01/01/2025,00:01:17
M,24,7579436,222,31/12/2024,23:34:34,483,01/01/2025,00:01:58
M,31,7161920,34,31/12/2024,23:25:48,688,01/01/2025,00:02:16
M,22,7220593,254,31/12/2024,23:50:21,539,01/01/2025,00:02:41
M,29,4031258,560,31/12/2024,23:52:12,120,01/01/2025,00:03:28
